commune,emi.pol2012.nox,emi.pol2010.nox,emi.pol2012.pm10,emi.pol2010.pm10,emi.pol2012.cov,emi.pol2010.cov
11057,1348.0236715576773,973.0236715577,1348.0236715577,1348.0236715577,2696.0473431154,1946.0473431154
11058,5432.9498033493,5150.9498033493,5432.9498033493,5432.9498033493,5432.9498033493,10301.8996066986
11059,4650.914087800113,4959.9140878001,4650.9140878001,9301.8281756002,2325.4570439001,4959.9140878001
11060,612.555416197,994.555416197,1225.110832394,1225.110832394,1225.110832394,1989.110832394
11061,3476.965801431105,3167.9658014311,6953.9316028622,6953.9316028622,3476.9658014311,6335.9316028622
11062,582.4146012078551,315.4146012079,582.4146012079,1164.8292024157,291.2073006039,315.4146012079
11063,8686.745731318193,8720.7457313182,17373.4914626364,34746.9829252728,4343.3728656591,8720.7457313182
11064,5319.942830913,5575.942830913,10639.885661826,10639.885661826,5319.942830913,5575.942830913
11065,2290.427781393277,1921.4277813933,2290.4277813933,4580.8555627866,2290.4277813933,1921.4277813933
11066,1704.5313466715047,1896.5313466715,3409.062693343,3409.062693343,3409.062693343,3793.062693343
11067,17852.49069651157,17455.4906965116,35704.9813930231,35704.9813930231,17852.4906965116,34910.9813930231
11068,106374.6388810481,106843.638881048,212749.277762096,425498.555524192,53187.3194405241,213687.277762096
11069,627360.4628101587,627392.462810159,1254720.92562032,2509441.85124064,313680.231405079,627392.462810159
11070,2808.1008236228295,2994.1008236228,2808.1008236228,2808.1008236228,2808.1008236228,2994.1008236228
11071,2814.045318509,3133.045318509,5628.090637018,5628.090637018,2814.045318509,6266.090637018
11072,2345.05275060291,2049.0527506029,4690.1055012058,9380.2110024116,1172.5263753015,4098.1055012058
11073,1646.7649676502615,1859.7649676503,3293.5299353005,6587.0598706011,823.3824838251,3719.5299353005
11074,2570.951853373476,2996.9518533735,5141.903706747,5141.903706747,2570.9518533735,5993.903706747
11075,1662.8328178970003,1171.832817897,3325.665635794,3325.665635794,1662.832817897,2343.665635794
11076,186360.66129861365,186332.661298614,372721.322597227,372721.322597227,186360.661298614,186332.661298614
11077,2576.8169821809997,2648.816982181,5153.633964362,5153.633964362,2576.816982181,2648.816982181
11078,2485.9704742899994,2496.97047429,2485.97047429,4971.94094858,1242.985237145,2496.97047429
11079,1757.7898994350219,2141.789899435,1757.789899435,3515.5797988701,878.8949497175,4283.5797988701
11080,1980.8482382031716,2172.8482382032,3961.6964764064,3961.6964764064,1980.8482382032,2172.8482382032
11081,12853.681352070962,12869.681352071,25707.3627041419,25707.3627041419,12853.681352071,12869.681352071
11082,663.4814885781,1112.4814885781,1326.9629771562,1326.9629771562,1326.9629771562,2224.9629771562
11083,234.90531110299997,601.905311103,234.905311103,234.905311103,469.810622206,1203.810622206
11084,13588.71600312329,13474.7160031233,27177.4320062466,54354.8640124932,13588.7160031233,26949.4320062466
11085,6760.260160459949,6492.26016046,6760.26016046,13520.5203209199,6760.26016046,6492.26016046
11086,55088.237450679466,55214.2374506795,55088.2374506795,55088.2374506795,55088.2374506795,55214.2374506795
11087,2915.110299825319,3250.1102998253,5830.2205996506,5830.2205996506,5830.2205996506,6500.2205996506
11088,4366.172821320001,4320.17282132,4366.17282132,4366.17282132,4366.17282132,8640.34564264
11089,1700.3355910860498,1298.3355910861,3400.6711821721,3400.6711821721,3400.6711821721,2596.6711821721
11090,13219.072221545557,12973.0722215456,26438.1444430911,26438.1444430911,26438.1444430911,25946.1444430911
11091,5849.381959518182,5495.3819595182,5849.3819595182,5849.3819595182,5849.3819595182,5495.3819595182
11092,3847.3543847998326,3677.3543847998,3847.3543847998,7694.7087695997,3847.3543847998,7354.7087695997
11093,1781.0556032697125,1585.0556032697,1781.0556032697,1781.0556032697,1781.0556032697,1585.0556032697
11094,1633.8162307758002,2009.8162307758,3267.6324615516,3267.6324615516,1633.8162307758,4019.6324615516
11095,41643.07713840007,42045.0771384001,41643.0771384001,83286.1542768001,41643.0771384001,84090.1542768001
11096,357.375268783,160.375268783,357.375268783,714.750537566,357.375268783,320.750537566
11097,678.696152969,946.696152969,1357.392305938,1357.392305938,678.696152969,946.696152969
11098,55068.11291767316,55016.1129176732,110136.225835346,110136.225835346,55068.1129176732,55016.1129176732
11099,15712.294528959635,15372.2945289596,31424.5890579193,62849.1781158385,7856.1472644798,15372.2945289596
11100,1969.8493380293426,2177.8493380294,3939.6986760587,7879.3973521174,1969.8493380294,2177.8493380294
11101,961.7943606850719,534.7943606851,1923.5887213702,3847.1774427403,480.8971803425,534.7943606851
11102,20729.973065349175,20600.9730653492,41459.9461306984,82919.8922613967,20729.9730653492,41201.9461306983
11103,10941.088338652095,10818.0883386521,10941.0883386521,21882.1766773042,10941.0883386521,10818.0883386521
11104,235.43621625499998,91.436216255,470.87243251,470.87243251,235.436216255,91.436216255
11105,10002.618022756096,9951.6180227561,20005.2360455122,20005.2360455122,20005.2360455122,19903.2360455122
11106,36449.12090963748,36823.1209096375,72898.241819275,72898.241819275,36449.1209096375,73646.241819275
11107,801.3220243440002,767.322024344,801.322024344,1602.644048688,400.661012172,767.322024344
11108,732.373952531,867.373952531,732.373952531,1464.747905062,732.373952531,867.373952531
11109,1731.319809315116,2122.3198093151,1731.3198093151,3462.6396186302,865.6599046576,4244.6396186302
11110,1049.157536983,849.157536983,2098.315073966,2098.315073966,2098.315073966,1698.315073966
11111,15524.51917145932,15993.5191714593,15524.5191714593,31049.0383429186,15524.5191714593,15993.5191714593
11112,1248.0982825314175,1327.0982825314,1248.0982825314,1248.0982825314,2496.1965650628,1327.0982825314
11113,2907.1403572606455,2736.1403572607,2907.1403572607,5814.2807145213,1453.5701786303,2736.1403572607
11114,1141.543670044,1328.543670044,1141.543670044,2283.087340088,570.771835022,2657.087340088
11115,7388.040984806005,7124.040984806,14776.081969612,14776.081969612,7388.040984806,7124.040984806
11116,13898.62402627543,13645.6240262754,27797.2480525509,55594.4961051017,13898.6240262754,13645.6240262754
11117,720.1976068442173,377.1976068442,1440.3952136884,2880.7904273769,720.1976068442,377.1976068442
11118,786.9314703587316,665.9314703587,786.9314703587,1573.8629407175,393.4657351794,1331.8629407175
11119,1502.1359559846087,1704.1359559846,1502.1359559846,1502.1359559846,1502.1359559846,1704.1359559846
11120,3423.2596848142416,3178.2596848143,3423.2596848143,3423.2596848143,3423.2596848143,6356.5193696285
11121,951.96287863,1085.96287863,951.96287863,1903.92575726,475.981439315,1085.96287863
11122,75268.91934562048,75617.9193456205,75268.9193456205,150537.838691241,37634.4596728102,151235.838691241
11123,1760.7392798507417,1846.7392798508,3521.4785597015,7042.957119403,880.3696399254,3693.4785597015
11124,7073.075006020149,7511.0750060202,14146.1500120403,28292.3000240806,7073.0750060202,15022.1500120403
11125,2850.330295024,3074.330295024,2850.330295024,5700.660590048,2850.330295024,3074.330295024
11126,5403.130295627,5391.130295627,5403.130295627,10806.260591254,5403.130295627,5391.130295627
11127,4652.273378421831,4392.2733784218,4652.2733784218,9304.5467568437,2326.1366892109,4392.2733784218
11128,1883.8648338639998,1875.864833864,3767.729667728,7535.459335456,1883.864833864,3751.729667728
11129,8298.891937235618,8734.8919372356,8298.8919372356,8298.8919372356,16597.7838744712,17469.7838744712
11130,2491.6501915234076,2392.6501915234,2491.6501915234,4983.3003830468,2491.6501915234,4785.3003830468
11131,1398.8588633250001,1097.858863325,1398.858863325,2797.71772665,699.4294316625,1097.858863325
11132,22736.687334143542,22244.6873341435,22736.6873341435,45473.3746682871,11368.3436670718,22244.6873341435
11133,2955.6439302209997,3227.643930221,2955.643930221,5911.287860442,1477.8219651105,3227.643930221
11134,1222.659117283,1298.659117283,2445.318234566,4890.636469132,611.3295586415,1298.659117283
11135,50.6398949481,-84.3601050519,101.2797898962,202.5595797924,50.6398949481,-84.3601050519
11136,28312.77419730204,28033.774197302,56625.5483946041,113251.096789208,28312.774197302,28033.774197302
11137,2512.8486265282854,2462.8486265283,5025.6972530566,10051.3945061131,1256.4243132642,4925.6972530566
11138,5412.694670548808,5744.6946705488,10825.3893410976,21650.7786821952,5412.6946705488,5744.6946705488
11139,3889.123243615,4245.123243615,3889.123243615,7778.24648723,3889.123243615,4245.123243615
11140,11336.225222521722,11177.2252225217,22672.4504450434,45344.9008900869,11336.2252225217,22354.4504450434
11141,1665.111421126438,1297.1114211264,1665.1114211264,1665.1114211264,3330.2228422529,1297.1114211264
11142,2998.2974065119997,3323.297406512,2998.297406512,2998.297406512,2998.297406512,6646.594813024
11143,2345.6134141889997,2766.613414189,4691.226828378,4691.226828378,2345.613414189,5533.226828378
11144,217986.25997515282,217947.259975153,435972.519950306,435972.519950306,435972.519950306,435894.519950306
11145,108157.23272120845,108168.232721208,216314.465442417,216314.465442417,216314.465442417,108168.232721208
11146,49366.53340460736,49022.5334046074,49366.5334046074,49366.5334046074,98733.0668092147,98045.0668092147
11147,1596.88086593606,1804.8808659361,1596.8808659361,3193.7617318721,1596.8808659361,1804.8808659361
11148,97160.38299326254,97328.3829932625,97160.3829932625,97160.3829932625,97160.3829932625,97328.3829932625
11149,9468.571610300069,9504.5716103001,18937.1432206001,37874.2864412003,9468.5716103001,9504.5716103001
11150,1473.920172671,1383.920172671,1473.920172671,2947.840345342,736.9600863355,1383.920172671
11151,80428.06840517015,80852.0684051702,160856.13681034,160856.13681034,160856.13681034,80852.0684051702
11152,2513.6601063193352,2182.6601063193,2513.6601063193,5027.3202126387,1256.8300531597,4365.3202126387
11153,5282.72439023927,5040.7243902393,10565.4487804785,10565.4487804785,5282.7243902393,10081.4487804785
11154,664.0841866760001,674.084186676,1328.168373352,1328.168373352,1328.168373352,674.084186676
11155,1757.958195428,1364.958195428,1757.958195428,3515.916390856,1757.958195428,2729.916390856
11156,840.9899380915426,1323.9899380916,1681.9798761831,1681.9798761831,840.9899380915,1323.9899380916
11157,2670.536365247,3168.536365247,5341.072730494,10682.145460988,2670.536365247,3168.536365247
11158,4896.732121944749,4744.7321219448,4896.7321219448,4896.7321219448,4896.7321219448,9489.4642438895
11159,5534.044499441728,5508.0444994417,5534.0444994417,5534.0444994417,11068.0889988835,11016.0889988835
11160,410.4322594579999,844.432259458,820.864518916,1641.729037832,410.432259458,1688.864518916
11161,2581.775360169072,2830.7753601691,2581.7753601691,2581.7753601691,2581.7753601691,5661.5507203382
11162,2052.3914051937427,2226.3914051938,4104.7828103875,8209.565620775,1026.1957025969,2226.3914051938
11163,308.815162843,751.815162843,617.630325686,1235.260651372,154.4075814215,751.815162843
11164,14728.45509956306,14748.4550995631,14728.4550995631,29456.9101991261,7364.2275497815,29496.9101991261
11165,1919.2614380599077,1668.2614380599,1919.2614380599,3838.5228761198,959.63071903,1668.2614380599
11166,2014.703621434,1822.703621434,4029.407242868,4029.407242868,4029.407242868,1822.703621434
11167,2012.999156897,2254.999156897,2012.999156897,4025.998313794,1006.4995784485,2254.999156897
11168,781.629525433,981.629525433,1563.259050866,1563.259050866,781.629525433,981.629525433
11169,1513.860818948,1152.860818948,1513.860818948,1513.860818948,1513.860818948,1152.860818948
11170,33168.16275657945,33266.1627565794,33168.1627565794,33168.1627565794,66336.3255131589,66532.3255131589
11171,1305.4994509506625,846.4994509507,1305.4994509507,1305.4994509507,2610.9989019013,1692.9989019013
11172,8614.484763036662,8385.4847630367,17228.9695260733,17228.9695260733,8614.4847630367,8385.4847630367
11173,2972.690090955,2894.690090955,2972.690090955,5945.38018191,1486.3450454775,2894.690090955
11174,68.423164027,530.423164027,68.423164027,68.423164027,68.423164027,1060.846328054
11175,8481.166702554781,8713.1667025548,16962.3334051096,16962.3334051096,16962.3334051096,8713.1667025548
11176,1130.020229212,1563.020229212,1130.020229212,1130.020229212,2260.040458424,1563.020229212
11177,63.934587354,-318.065412646,127.869174708,127.869174708,127.869174708,-318.065412646
11178,64871.65755461913,64811.6575546191,64871.6575546191,64871.6575546191,129743.315109238,64811.6575546191
11179,298.6824014139999,398.682401414,298.682401414,298.682401414,298.682401414,797.364802828
11180,1293.872413901,1448.872413901,1293.872413901,1293.872413901,2587.744827802,2897.744827802
11181,5575.6064448649995,5926.606444865,5575.606444865,5575.606444865,11151.21288973,5926.606444865
11182,1342.237805251,1366.237805251,1342.237805251,2684.475610502,671.1189026255,1366.237805251
11183,1911.7620201979998,2236.762020198,3823.524040396,7647.048080792,1911.762020198,4473.524040396
11184,1679.9335244909332,1287.9335244909,1679.9335244909,3359.8670489819,839.9667622455,1287.9335244909
11185,7226.547444902429,6759.5474449024,14453.0948898049,28906.1897796097,7226.5474449024,6759.5474449024
11186,285.051808347,717.051808347,570.103616694,570.103616694,570.103616694,717.051808347
11187,1226.6833683686305,816.6833683686,2453.3667367373,4906.7334734745,613.3416841843,816.6833683686
11188,179170.70498628166,178701.704986282,179170.704986282,179170.704986282,358341.409972563,357403.409972563
11189,205.02386611399996,-15.976133886,410.047732228,820.095464456,102.511933057,-15.976133886
11190,19343.18930685058,19408.1893068506,19343.1893068506,38686.3786137012,9671.5946534253,19408.1893068506
11191,4745.985659055884,5210.9856590559,4745.9856590559,4745.9856590559,9491.9713181118,10421.9713181118
11192,30637.898344347945,30164.8983443479,30637.8983443479,61275.7966886959,15318.949172174,60329.7966886959
11193,4331.613116204164,4069.6131162042,8663.2262324083,17326.4524648167,2165.8065581021,4069.6131162042
11194,464.06872358,872.06872358,464.06872358,928.13744716,464.06872358,1744.13744716
11195,38011.401711791776,38059.4017117918,76022.8034235836,152045.606847167,38011.4017117918,76118.8034235836
11196,2550.529683642,2538.529683642,2550.529683642,2550.529683642,5101.059367284,5077.059367284
11197,5651.534960599638,5366.5349605996,11303.0699211993,11303.0699211993,5651.5349605996,5366.5349605996
11198,14453.714756886355,14242.7147568864,14453.7147568864,14453.7147568864,28907.4295137727,28485.4295137727
11199,46155.365984388074,45843.3659843881,92310.7319687762,184621.463937552,46155.3659843881,91686.7319687762
11200,6004.55848413831,5859.5584841383,6004.5584841383,6004.5584841383,12009.1169682766,5859.5584841383
11201,6548.238270903475,6935.2382709035,6548.2382709035,13096.476541807,6548.2382709035,6935.2382709035
11202,48717.96018784882,48446.9601878488,48717.9601878488,97435.9203756976,48717.9601878488,48446.9601878488
11203,132663.60997876464,132789.609978765,132663.609978765,265327.219957529,132663.609978765,265579.219957529
11204,1859.9429289450002,1667.942928945,3719.88585789,7439.77171578,1859.942928945,3335.88585789
11205,1129.816176322,819.816176322,1129.816176322,2259.632352644,1129.816176322,1639.632352644
11206,98658.32185941297,98516.321859413,197316.643718826,197316.643718826,197316.643718826,197032.643718826
11207,2279.25453246959,2020.2545324696,4558.5090649392,9117.0181298784,2279.2545324696,2020.2545324696
11208,11513.528488879738,11322.5284888797,11513.5284888797,11513.5284888797,11513.5284888797,11322.5284888797
11209,4332.712396456845,4631.7123964569,8665.4247929137,8665.4247929137,4332.7123964569,4631.7123964569
11210,91889.01639847648,92231.0163984765,91889.0163984765,183778.032796953,45944.5081992382,92231.0163984765
11211,1188.046957177,1652.046957177,1188.046957177,1188.046957177,1188.046957177,3304.093914354
11212,4051.893924668558,4200.8939246686,4051.8939246686,4051.8939246686,4051.8939246686,4200.8939246686
11213,211.27593653802225,76.275936538,211.275936538,211.275936538,211.275936538,76.275936538
11214,2547.8390841120004,2835.839084112,5095.678168224,10191.356336448,2547.839084112,5671.678168224
11215,2990.757825647,3248.757825647,2990.757825647,5981.515651294,2990.757825647,3248.757825647
11216,2475.98871536794,2374.9887153679,2475.9887153679,2475.9887153679,4951.9774307359,4749.9774307359
11217,8045.077699604598,8265.0776996046,16090.1553992092,16090.1553992092,16090.1553992092,16530.1553992092
11218,1328.39879517,1677.39879517,2656.79759034,2656.79759034,2656.79759034,3354.79759034
11219,194.43176605359997,124.4317660536,194.4317660536,194.4317660536,388.8635321072,248.8635321072
11220,12347.31386900873,12847.3138690087,24694.6277380175,49389.2554760349,12347.3138690087,12847.3138690087
11221,2972.0067874808897,2885.0067874809,2972.0067874809,5944.0135749618,2972.0067874809,2885.0067874809
11222,450.00021040099995,76.000210401,900.000420802,1800.000841604,225.0001052005,152.000420802
11223,130.20993914599998,-367.790060854,260.419878292,520.839756584,130.209939146,-735.580121708
11224,614.3340208157406,883.3340208157,1228.6680416315,2457.336083263,307.1670104079,1766.6680416315
11225,144455.75105451915,144312.751054519,288911.502109038,288911.502109038,288911.502109038,288625.502109038
11226,2660.780706045702,2272.7807060457,5321.5614120914,5321.5614120914,2660.7807060457,2272.7807060457
11227,1558.016298479,1175.016298479,3116.032596958,6232.065193916,1558.016298479,1175.016298479
11228,2940.44540987,2723.44540987,5880.89081974,11761.78163948,2940.44540987,5446.89081974
11229,434.5771963579,29.5771963579,869.1543927158,1738.3087854316,217.288598179,29.5771963579
11230,515.8813851956,896.8813851956,1031.7627703912,1031.7627703912,1031.7627703912,1793.7627703912
11231,2408.7902074450003,2433.790207445,4817.58041489,9635.16082978,1204.3951037225,2433.790207445
11232,47.667475526000004,-328.332524474,47.667475526,47.667475526,47.667475526,-656.665048948
11233,4942.898009136816,4599.8980091368,4942.8980091368,4942.8980091368,4942.8980091368,9199.7960182736
11234,33173.2571108097,33218.2571108097,66346.5142216194,132693.028443239,33173.2571108097,66436.5142216194
11235,1344.558171756,1215.558171756,1344.558171756,1344.558171756,1344.558171756,1215.558171756
11236,11939.690573143193,11976.6905731432,23879.3811462864,47758.7622925728,11939.6905731432,23953.3811462864
11238,1233.2069411956797,1545.2069411957,2466.4138823914,4932.8277647827,616.6034705978,3090.4138823914
11239,9372.190587309347,9316.1905873094,9372.1905873094,18744.3811746187,4686.0952936547,18632.3811746187
11240,2966.8822867344156,3125.8822867344,5933.7645734688,11867.5291469377,1483.4411433672,6251.7645734688
11241,3533.5900909229995,3869.590090923,7067.180181846,14134.360363692,3533.590090923,7739.180181846
11242,1241.102908647,1594.102908647,2482.205817294,4964.411634588,620.5514543235,3188.205817294
11243,36281.361117120796,35928.3611171208,72562.7222342416,145125.444468483,18140.6805585604,71856.7222342416
11244,598.3320968684643,973.3320968685,1196.6641937369,1196.6641937369,598.3320968685,973.3320968685
11245,524.503226041,708.503226041,524.503226041,524.503226041,524.503226041,708.503226041
11246,3521.26203075,3572.26203075,7042.5240615,14085.048123,1760.631015375,3572.26203075
11247,2267.203191082,2688.203191082,4534.406382164,9068.812764328,2267.203191082,5376.406382164
11248,1384.17648502058,1330.1764850206,1384.1764850206,1384.1764850206,1384.1764850206,1330.1764850206
11249,2962.467847979355,2603.4678479794,5924.9356959587,5924.9356959587,2962.4678479794,2603.4678479794
11250,120.90329154000001,-272.09670846,241.80658308,241.80658308,120.90329154,-272.09670846
11251,4764.464792790699,4692.4647927907,4764.4647927907,9528.9295855814,4764.4647927907,9384.9295855814
11252,2661.0166854970003,2500.016685497,2661.016685497,2661.016685497,5322.033370994,2500.016685497
11253,11581.53513753463,11894.5351375346,23163.0702750693,23163.0702750693,11581.5351375346,23789.0702750693
11254,163209.91327193193,163134.913271932,163209.913271932,163209.913271932,326419.826543864,326269.826543864
11255,57192.57412844361,57356.5741284436,57192.5741284436,114385.148256887,57192.5741284436,57356.5741284436
11256,5402.227580664895,5273.2275806649,10804.4551613298,21608.9103226596,5402.2275806649,5273.2275806649
11257,3012.1194384498276,2823.1194384498,3012.1194384498,6024.2388768997,3012.1194384498,2823.1194384498
11258,12034.966357131505,12508.9663571315,12034.9663571315,12034.9663571315,12034.9663571315,12508.9663571315
11259,9073.72388537674,8669.7238853767,18147.4477707535,36294.895541507,4536.8619426884,8669.7238853767
11260,2828.1979648365227,2842.1979648365,5656.3959296731,5656.3959296731,5656.3959296731,5684.3959296731
11261,81400.94083040868,81354.9408304087,81400.9408304087,162801.881660817,81400.9408304087,162709.881660817
11262,1079813.0629687996,1080297.0629688,2159626.1259376,4319252.2518752,539906.5314844,2160594.1259376
11263,2687.180039986265,2451.1800399863,5374.3600799725,5374.3600799725,5374.3600799725,4902.3600799725
11264,44919.40143810387,44858.4014381039,44919.4014381039,44919.4014381039,89838.8028762077,44858.4014381039
11265,293.414543536,301.414543536,586.829087072,586.829087072,293.414543536,602.829087072
11266,726667.3165955497,727114.31659555,1453334.6331911,2906669.2663822,726667.31659555,1454228.6331911
11267,28731.528520440148,28969.5285204401,57463.0570408803,57463.0570408803,57463.0570408803,57939.0570408803
11268,11666.643470082416,11822.6434700824,11666.6434700824,23333.2869401648,5833.3217350412,11822.6434700824
11269,27466.87392938539,27817.8739293854,27466.8739293854,54933.7478587708,13733.4369646927,55635.7478587708
11270,2248.189873321595,2284.1898733216,4496.3797466432,4496.3797466432,2248.1898733216,2284.1898733216
11271,50.485186117,13.485186117,100.970372234,201.940744468,50.485186117,13.485186117
11272,35394.32991806625,35289.3299180662,35394.3299180662,70788.6598361325,17697.1649590331,70578.6598361325
11273,4625.937917765001,4152.937917765,9251.87583553,18503.75167106,2312.9689588825,4152.937917765
11274,3072.317302409,3224.317302409,6144.634604818,12289.269209636,3072.317302409,3224.317302409
11275,9889.612291510703,9692.6122915107,19779.2245830214,39558.4491660428,4944.8061457554,9692.6122915107
11276,5315.222842337724,5390.2228423377,10630.4456846754,21260.8913693509,2657.6114211689,5390.2228423377
11277,2073.014662656406,1713.0146626564,4146.0293253128,4146.0293253128,2073.0146626564,3426.0293253128
11278,1711.2301290911462,1729.2301290912,3422.4602581823,6844.9205163646,1711.2301290912,3458.4602581823
11279,27923.19758196244,28288.1975819624,55846.3951639249,111692.79032785,13961.5987909812,28288.1975819624
11280,12443.471799566487,12271.4717995665,12443.4717995665,24886.943599133,6221.7358997833,12271.4717995665
11281,60989.081832107106,61362.0818321071,121978.163664214,243956.327328428,30494.5409160536,61362.0818321071
11282,1347.9024459740722,1599.9024459741,1347.9024459741,1347.9024459741,2695.8048919482,1599.9024459741
11283,1531.291499593365,1589.2914995934,3062.5829991867,6125.1659983735,1531.2914995934,1589.2914995934
11284,5020.638470347929,5019.6384703479,5020.6384703479,10041.2769406959,5020.6384703479,10039.2769406959
11285,174549.64715620322,174109.647156203,174549.647156203,349099.294312406,174549.647156203,348219.294312406
11286,9144.158057140397,9392.1580571404,9144.1580571404,18288.3161142808,9144.1580571404,9392.1580571404
11287,1776.6438512958705,2134.6438512959,1776.6438512959,3553.2877025918,888.3219256479,4269.2877025917
11288,26198.77481939344,26000.7748193934,26198.7748193934,26198.7748193934,52397.5496387869,52001.5496387869
