commune,emi.pol2012.nox[0],emi.pol2012.nox[1],emi.pol2012.nox[2],emi.pol2012.nox[3],emi.pol2012.nox[4],emi.pol2012.nox[5],emi.pol2010.nox[0],emi.pol2010.nox[1],emi.pol2010.nox[2],emi.pol2010.nox[3],emi.pol2010.nox[4],emi.pol2010.nox[5]
11011,2408.002705904601,2387.0027059046,4816.0054118092,9632.0108236184,1204.0013529523,4774.0054118092,2408.002705904601,2811.0027059046,4816.0054118092,9632.0108236184,2408.0027059046,5622.0054118092
11012,17897.753207054677,18084.7532070547,17897.7532070547,17897.7532070547,17897.7532070547,18084.7532070547,17897.753207054677,18213.7532070547,17897.7532070547,17897.7532070547,17897.7532070547,36427.5064141094
11013,1110.0148129460001,732.014812946,2220.029625892,2220.029625892,2220.029625892,732.014812946,1110.0148129460001,1433.014812946,2220.029625892,2220.029625892,2220.029625892,1433.014812946
11014,118925.73544804359,119296.735448044,118925.735448044,237851.470896087,59462.8677240218,119296.735448044,118925.73544804359,118640.735448044,118925.735448044,237851.470896087,59462.8677240218,118640.735448044
11015,5685.209188812739,5230.2091888127,5685.2091888127,5685.2091888127,11370.4183776255,10460.4183776255,5685.209188812739,5657.2091888127,5685.2091888127,5685.2091888127,5685.2091888127,5657.2091888127
11016,4683.907347646999,4530.907347647,9367.814695294,18735.629390588,2341.9536738235,4530.907347647,4683.907347646999,4962.907347647,4683.907347647,9367.814695294,4683.907347647,9925.814695294
11017,1076.6097848697166,1226.6097848697,2153.2195697394,2153.2195697394,2153.2195697394,1226.6097848697,1076.6097848697166,1441.6097848697,2153.2195697394,2153.2195697394,2153.2195697394,1441.6097848697
11018,107965.71033633607,107967.710336336,215931.420672672,431862.841345344,107965.710336336,215935.420672672,107965.71033633607,107984.710336336,215931.420672672,431862.841345344,53982.855168168,215969.420672672
11019,1791.0451452094621,1754.0451452095,3582.0902904189,7164.1805808379,895.5225726047,3508.0902904189,1791.0451452094621,2152.0451452095,1791.0451452095,1791.0451452095,1791.0451452095,2152.0451452095
11020,693.6421838551313,895.6421838551,1387.2843677103,1387.2843677103,1387.2843677103,1791.2843677103,693.6421838551313,946.6421838551,693.6421838551,693.6421838551,693.6421838551,1893.2843677103
11021,5884.483518316121,6024.4835183161,5884.4835183161,11768.9670366322,5884.4835183161,12048.9670366322,5884.483518316121,6110.4835183161,11768.9670366322,11768.9670366322,11768.9670366322,6110.4835183161
11022,22345.51856569844,22072.5185656984,22345.5185656984,22345.5185656984,44691.0371313969,22072.5185656984,22345.51856569844,22252.5185656984,44691.0371313969,89382.0742627938,11172.7592828492,22252.5185656984
11023,5785.220495140001,6219.22049514,5785.22049514,11570.44099028,5785.22049514,6219.22049514,5785.220495140001,6213.22049514,5785.22049514,11570.44099028,5785.22049514,6213.22049514
11024,170785.27118708502,170778.271187085,170785.271187085,170785.271187085,341570.54237417,170778.271187085,170785.27118708502,170742.271187085,341570.54237417,683141.08474834,170785.271187085,170742.271187085
11025,2145.635148714,2312.635148714,2145.635148714,2145.635148714,4291.270297428,4625.270297428,2145.635148714,2059.635148714,2145.635148714,4291.270297428,2145.635148714,4119.270297428
11026,1512.049268776,1523.049268776,3024.098537552,3024.098537552,1512.049268776,3046.098537552,1512.049268776,1701.049268776,3024.098537552,3024.098537552,3024.098537552,1701.049268776
11027,69552.39641357856,69901.3964135786,139104.792827157,139104.792827157,139104.792827157,139802.792827157,69552.39641357856,69272.3964135786,69552.3964135786,139104.792827157,34776.1982067893,138544.792827157
11028,4244.018634352239,4630.0186343522,8488.0372687045,16976.074537409,2122.0093171761,9260.0372687045,4244.018634352239,4585.0186343522,8488.0372687045,8488.0372687045,8488.0372687045,4585.0186343522
11029,2801.3336020669994,3121.333602067,5602.667204134,5602.667204134,2801.333602067,6242.667204134,2801.3336020669994,3142.333602067,5602.667204134,5602.667204134,5602.667204134,3142.333602067
11030,3031.9032210632163,2617.9032210632,3031.9032210632,3031.9032210632,3031.9032210632,2617.9032210632,3031.9032210632163,2928.9032210632,3031.9032210632,3031.9032210632,3031.9032210632,2928.9032210632
11031,243.68577586799998,538.685775868,243.685775868,243.685775868,487.371551736,538.685775868,243.68577586799998,560.685775868,487.371551736,974.743103472,243.685775868,560.685775868
11032,2068.575795663,2486.575795663,2068.575795663,4137.151591326,1034.2878978315,4973.151591326,2068.575795663,2335.575795663,4137.151591326,4137.151591326,2068.575795663,4671.151591326
11033,11124.234595188991,10707.234595189,22248.469190378,44496.938380756,5562.1172975945,10707.234595189,11124.234595188991,11433.234595189,22248.469190378,22248.469190378,11124.234595189,11433.234595189
11034,2089.8517367229997,1718.851736723,4179.703473446,4179.703473446,2089.851736723,3437.703473446,2089.8517367229997,1988.851736723,2089.851736723,2089.851736723,4179.703473446,1988.851736723
11035,4497.770525876217,4525.7705258762,4497.7705258762,8995.5410517524,2248.8852629381,4525.7705258762,4497.770525876217,4917.7705258762,4497.7705258762,8995.5410517524,4497.7705258762,4917.7705258762
11036,3240.506916689093,3173.5069166891,6481.0138333782,12962.0276667564,3240.5069166891,6347.0138333782,3240.506916689093,3094.5069166891,3240.5069166891,3240.5069166891,6481.0138333782,6189.0138333782
11037,2865.3809070941566,2730.3809070942,2865.3809070942,2865.3809070942,2865.3809070942,5460.7618141883,2865.3809070941566,2376.3809070942,2865.3809070942,2865.3809070942,5730.7618141883,4752.7618141883
11038,2984.318689554166,3442.3186895542,2984.3186895542,2984.3186895542,2984.3186895542,3442.3186895542,2984.318689554166,2888.3186895542,2984.3186895542,5968.6373791083,2984.3186895542,5776.6373791083
11039,3717.7800339197875,3508.7800339198,7435.5600678396,7435.5600678396,3717.7800339198,3508.7800339198,3717.7800339197875,3236.7800339198,3717.7800339198,7435.5600678396,1858.8900169599,3236.7800339198
11040,132207.65581351708,131938.655813517,132207.655813517,264415.311627034,66103.8279067585,131938.655813517,132207.65581351708,131770.655813517,264415.311627034,528830.623254068,66103.8279067585,263541.311627034
11041,12872.394464895066,12841.3944648951,25744.7889297901,25744.7889297901,12872.3944648951,25682.7889297901,12872.394464895066,12914.3944648951,12872.3944648951,25744.7889297901,6436.1972324475,25828.7889297901
11042,6014.636417959585,6284.6364179596,6014.6364179596,6014.6364179596,12029.2728359192,12569.2728359192,6014.636417959585,6436.6364179596,12029.2728359192,24058.5456718383,3007.3182089798,6436.6364179596
11043,1349.7237946600003,1767.72379466,2699.44758932,5398.89517864,1349.72379466,1767.72379466,1349.7237946600003,1728.72379466,1349.72379466,1349.72379466,1349.72379466,3457.44758932
11044,2016.5608847969997,2108.560884797,2016.560884797,2016.560884797,2016.560884797,2108.560884797,2016.5608847969997,1880.560884797,2016.560884797,2016.560884797,2016.560884797,3761.121769594
11045,1524.6195652590002,1665.619565259,1524.619565259,3049.239130518,762.3097826295,3331.239130518,1524.6195652590002,1161.619565259,3049.239130518,3049.239130518,1524.619565259,1161.619565259
11046,1906.860913011,2369.860913011,3813.721826022,7627.443652044,1906.860913011,2369.860913011,1906.860913011,1757.860913011,3813.721826022,3813.721826022,3813.721826022,3515.721826022
11047,580.7181335,1019.7181335,580.7181335,580.7181335,1161.436267,1019.7181335,580.7181335,223.7181335,580.7181335,1161.436267,580.7181335,447.436267
11048,34702.2909814916,34493.2909814916,34702.2909814916,34702.2909814916,69404.5819629832,34493.2909814916,34702.2909814916,34203.2909814916,34702.2909814916,69404.5819629832,17351.1454907458,34203.2909814916
11049,70021.58063289073,69986.5806328907,140043.161265781,140043.161265781,70021.5806328907,69986.5806328907,70021.58063289073,70392.5806328907,70021.5806328907,70021.5806328907,70021.5806328907,140785.161265781
11050,3427.4517248419897,3328.451724842,6854.903449684,6854.903449684,3427.451724842,3328.451724842,3427.4517248419897,2931.451724842,6854.903449684,6854.903449684,6854.903449684,5862.903449684
11051,2223.509314519603,2716.5093145196,4447.0186290392,4447.0186290392,4447.0186290392,2716.5093145196,2223.509314519603,2477.5093145196,4447.0186290392,8894.0372580784,2223.5093145196,2477.5093145196
11052,2864.617703386564,2469.6177033866,5729.2354067731,5729.2354067731,5729.2354067731,2469.6177033866,2864.617703386564,2960.6177033866,5729.2354067731,5729.2354067731,2864.6177033866,5921.2354067731
11053,2173.1942829600002,2302.19428296,4346.38856592,4346.38856592,4346.38856592,2302.19428296,2173.1942829600002,2085.19428296,2173.19428296,2173.19428296,2173.19428296,2085.19428296
11054,3187.763608492,3613.763608492,6375.527216984,6375.527216984,6375.527216984,3613.763608492,3187.763608492,3369.763608492,6375.527216984,12751.054433968,1593.881804246,3369.763608492
11055,5827.47675084147,5925.4767508415,11654.9535016829,11654.9535016829,11654.9535016829,5925.4767508415,5827.47675084147,5379.4767508415,5827.4767508415,5827.4767508415,11654.9535016829,5379.4767508415
11056,1030.727219139,826.727219139,2061.454438278,4122.908876556,1030.727219139,826.727219139,1030.727219139,1356.727219139,2061.454438278,4122.908876556,1030.727219139,2713.454438278
11057,1348.0236715576773,1285.0236715577,1348.0236715577,1348.0236715577,1348.0236715577,1285.0236715577,1348.0236715576773,1218.0236715577,2696.0473431154,2696.0473431154,1348.0236715577,2436.0473431154
11058,5432.9498033493,5378.9498033493,10865.8996066986,10865.8996066986,10865.8996066986,5378.9498033493,5432.9498033493,5205.9498033493,10865.8996066986,10865.8996066986,5432.9498033493,10411.8996066986
11059,4650.914087800113,4850.9140878001,9301.8281756002,18603.6563512005,4650.9140878001,4850.9140878001,4650.914087800113,4817.9140878001,9301.8281756002,18603.6563512005,2325.4570439001,4817.9140878001
11060,612.555416197,574.555416197,1225.110832394,1225.110832394,1225.110832394,1149.110832394,612.555416197,323.555416197,1225.110832394,1225.110832394,612.555416197,323.555416197
11061,3476.965801431105,3404.9658014311,6953.9316028622,6953.9316028622,3476.9658014311,3404.9658014311,3476.965801431105,3646.9658014311,3476.9658014311,6953.9316028622,3476.9658014311,3646.9658014311
11062,582.4146012078551,843.4146012079,1164.8292024157,2329.6584048314,291.2073006039,1686.8292024157,582.4146012078551,566.4146012079,1164.8292024157,2329.6584048314,582.4146012079,1132.8292024157
11063,8686.745731318193,9163.7457313182,8686.7457313182,17373.4914626364,4343.3728656591,18327.4914626364,8686.745731318193,9164.7457313182,8686.7457313182,17373.4914626364,8686.7457313182,18329.4914626364
11064,5319.942830913,5347.942830913,10639.885661826,21279.771323652,2659.9714154565,10695.885661826,5319.942830913,5297.942830913,10639.885661826,21279.771323652,5319.942830913,5297.942830913
11065,2290.427781393277,2141.4277813933,2290.4277813933,2290.4277813933,4580.8555627866,2141.4277813933,2290.427781393277,2674.4277813933,4580.8555627866,9161.7111255731,2290.4277813933,5348.8555627866
11066,1704.5313466715047,1849.5313466715,3409.062693343,6818.125386686,1704.5313466715,3699.062693343,1704.5313466715047,2101.5313466715,1704.5313466715,3409.062693343,852.2656733358,2101.5313466715
11067,17852.49069651157,17548.4906965116,17852.4906965116,17852.4906965116,17852.4906965116,17548.4906965116,17852.49069651157,18184.4906965116,17852.4906965116,17852.4906965116,35704.9813930231,18184.4906965116
11068,106374.6388810481,106150.638881048,106374.638881048,106374.638881048,212749.277762096,106150.638881048,106374.6388810481,106769.638881048,212749.277762096,425498.555524192,106374.638881048,213539.277762096
11069,627360.4628101587,626931.462810159,1254720.92562032,2509441.85124064,627360.462810159,1253862.92562032,627360.4628101587,627161.462810159,1254720.92562032,2509441.85124064,627360.462810159,1254322.92562032
11070,2808.1008236228295,2985.1008236228,2808.1008236228,5616.2016472457,2808.1008236228,2985.1008236228,2808.1008236228295,3160.1008236228,2808.1008236228,5616.2016472457,2808.1008236228,6320.2016472457
11071,2814.045318509,2394.045318509,2814.045318509,2814.045318509,2814.045318509,2394.045318509,2814.045318509,3272.045318509,5628.090637018,11256.181274036,2814.045318509,6544.090637018
11072,2345.05275060291,2542.0527506029,4690.1055012058,4690.1055012058,2345.0527506029,5084.1055012058,2345.05275060291,2688.0527506029,2345.0527506029,2345.0527506029,2345.0527506029,2688.0527506029
11073,1646.7649676502615,1343.7649676503,1646.7649676503,3293.5299353005,1646.7649676503,1343.7649676503,1646.7649676502615,1919.7649676503,3293.5299353005,3293.5299353005,3293.5299353005,3839.5299353005
11074,2570.951853373476,3035.9518533735,2570.9518533735,5141.903706747,1285.4759266867,3035.9518533735,2570.951853373476,2907.9518533735,5141.903706747,10283.8074134939,1285.4759266867,2907.9518533735
11075,1662.8328178970003,2112.832817897,1662.832817897,3325.665635794,1662.832817897,2112.832817897,1662.8328178970003,1369.832817897,1662.832817897,3325.665635794,831.4164089485,1369.832817897
11076,186360.66129861365,186291.661298614,186360.661298614,372721.322597227,93180.3306493068,186291.661298614,186360.66129861365,186771.661298614,372721.322597227,372721.322597227,186360.661298614,373543.322597227
11077,2576.8169821809997,2882.816982181,5153.633964362,10307.267928724,1288.4084910905,5765.633964362,2576.8169821809997,2264.816982181,2576.816982181,2576.816982181,2576.816982181,2264.816982181
11078,2485.9704742899994,2409.97047429,2485.97047429,4971.94094858,2485.97047429,4819.94094858,2485.9704742899994,2335.97047429,4971.94094858,4971.94094858,2485.97047429,4671.94094858
11079,1757.7898994350219,1848.789899435,3515.5797988701,3515.5797988701,3515.5797988701,3697.5797988701,1757.7898994350219,2169.789899435,1757.789899435,1757.789899435,3515.5797988701,2169.789899435
11080,1980.8482382031716,2197.8482382032,1980.8482382032,3961.6964764064,990.4241191016,2197.8482382032,1980.8482382031716,1538.8482382032,3961.6964764064,7923.3929528127,990.4241191016,3077.6964764064
11081,12853.681352070962,13342.681352071,12853.681352071,25707.3627041419,12853.681352071,26685.3627041419,12853.681352070962,12708.681352071,12853.681352071,12853.681352071,25707.3627041419,25417.3627041419
11082,663.4814885781,952.4814885781,1326.9629771562,2653.9259543124,663.4814885781,1904.9629771562,663.4814885781,829.4814885781,1326.9629771562,2653.9259543124,663.4814885781,829.4814885781
11083,234.90531110299997,2.905311103,469.810622206,939.621244412,234.905311103,2.905311103,234.90531110299997,389.905311103,469.810622206,469.810622206,234.905311103,779.810622206
11084,13588.71600312329,13613.7160031233,27177.4320062466,27177.4320062466,13588.7160031233,27227.4320062466,13588.71600312329,13855.7160031233,27177.4320062466,27177.4320062466,27177.4320062466,13855.7160031233
11085,6760.260160459949,6978.26016046,13520.5203209199,13520.5203209199,6760.26016046,13956.5203209199,6760.260160459949,6608.26016046,13520.5203209199,27041.0406418398,6760.26016046,13216.5203209199
11086,55088.237450679466,55089.2374506795,110176.474901359,110176.474901359,110176.474901359,110178.474901359,55088.237450679466,55296.2374506795,55088.2374506795,110176.474901359,27544.1187253397,110592.474901359
11087,2915.110299825319,2624.1102998253,5830.2205996506,5830.2205996506,5830.2205996506,2624.1102998253,2915.110299825319,3008.1102998253,5830.2205996506,5830.2205996506,5830.2205996506,6016.2205996506
11088,4366.172821320001,3920.17282132,8732.34564264,17464.69128528,4366.17282132,3920.17282132,4366.172821320001,4584.17282132,4366.17282132,8732.34564264,2183.08641066,9168.34564264
11089,1700.3355910860498,1708.3355910861,3400.6711821721,3400.6711821721,3400.6711821721,1708.3355910861,1700.3355910860498,2181.3355910861,1700.3355910861,3400.6711821721,1700.3355910861,2181.3355910861
11090,13219.072221545557,13628.0722215456,13219.0722215456,26438.1444430911,13219.0722215456,13628.0722215456,13219.072221545557,12978.0722215456,26438.1444430911,52876.2888861822,6609.5361107728,12978.0722215456
11091,5849.381959518182,5865.3819595182,11698.7639190364,11698.7639190364,11698.7639190364,5865.3819595182,5849.381959518182,6279.3819595182,11698.7639190364,23397.5278380727,2924.6909797591,12558.7639190364
11092,3847.3543847998326,4283.3543847998,3847.3543847998,3847.3543847998,3847.3543847998,8566.7087695997,3847.3543847998326,3998.3543847998,3847.3543847998,7694.7087695997,1923.6771923999,7996.7087695997
11093,1781.0556032697125,1950.0556032697,3562.1112065394,3562.1112065394,1781.0556032697,1950.0556032697,1781.0556032697125,2024.0556032697,1781.0556032697,3562.1112065394,1781.0556032697,4048.1112065394
11094,1633.8162307758002,1626.8162307758,3267.6324615516,6535.2649231032,1633.8162307758,3253.6324615516,1633.8162307758002,2040.8162307758,1633.8162307758,3267.6324615516,1633.8162307758,2040.8162307758
11095,41643.07713840007,41607.0771384001,41643.0771384001,41643.0771384001,41643.0771384001,41607.0771384001,41643.07713840007,41272.0771384001,83286.1542768001,83286.1542768001,41643.0771384001,82544.1542768001
11096,357.375268783,-123.624731217,714.750537566,1429.501075132,357.375268783,-247.249462434,357.375268783,484.375268783,714.750537566,1429.501075132,357.375268783,968.750537566
11097,678.696152969,316.696152969,678.696152969,1357.392305938,339.3480764845,633.392305938,678.696152969,982.696152969,1357.392305938,1357.392305938,678.696152969,982.696152969
11098,55068.11291767316,55229.1129176732,55068.1129176732,55068.1129176732,110136.225835346,55229.1129176732,55068.11291767316,55530.1129176732,110136.225835346,110136.225835346,110136.225835346,55530.1129176732
11099,15712.294528959635,15508.2945289596,31424.5890579193,31424.5890579193,31424.5890579193,31016.5890579193,15712.294528959635,15733.2945289596,31424.5890579193,31424.5890579193,15712.2945289596,15733.2945289596
11100,1969.8493380293426,1679.8493380294,3939.6986760587,3939.6986760587,1969.8493380294,1679.8493380294,1969.8493380293426,1573.8493380294,1969.8493380294,1969.8493380294,1969.8493380294,1573.8493380294
11101,961.7943606850719,799.7943606851,1923.5887213702,3847.1774427403,961.7943606851,1599.5887213702,961.7943606850719,1274.7943606851,961.7943606851,961.7943606851,1923.5887213702,2549.5887213702
11102,20729.973065349175,20606.9730653492,20729.9730653492,20729.9730653492,41459.9461306984,41213.9461306984,20729.973065349175,20708.9730653492,41459.9461306984,41459.9461306984,20729.9730653492,41417.9461306984
11103,10941.088338652095,11348.0883386521,21882.1766773042,43764.3533546084,5470.5441693261,22696.1766773042,10941.088338652095,11388.0883386521,21882.1766773042,21882.1766773042,21882.1766773042,22776.1766773042
11104,235.43621625499998,270.436216255,470.87243251,941.74486502,117.7181081275,270.436216255,235.43621625499998,321.436216255,470.87243251,470.87243251,470.87243251,321.436216255
11105,10002.618022756096,9843.6180227561,10002.6180227561,20005.2360455122,10002.6180227561,9843.6180227561,10002.618022756096,9818.6180227561,10002.6180227561,10002.6180227561,10002.6180227561,9818.6180227561
11106,36449.12090963748,36806.1209096375,36449.1209096375,72898.241819275,18224.5604548187,73612.241819275,36449.12090963748,36102.1209096375,72898.241819275,72898.241819275,36449.1209096375,36102.1209096375
11107,801.3220243440002,1268.322024344,1602.644048688,1602.644048688,1602.644048688,1268.322024344,801.3220243440002,797.322024344,1602.644048688,3205.288097376,400.661012172,797.322024344
11108,732.373952531,378.373952531,1464.747905062,2929.495810124,366.1869762655,378.373952531,732.373952531,736.373952531,1464.747905062,1464.747905062,732.373952531,736.373952531
11109,1731.319809315116,1511.3198093151,3462.6396186302,3462.6396186302,3462.6396186302,3022.6396186302,1731.319809315116,1735.3198093151,3462.6396186302,3462.6396186302,1731.3198093151,1735.3198093151
11110,1049.157536983,1106.157536983,2098.315073966,2098.315073966,2098.315073966,1106.157536983,1049.157536983,957.157536983,2098.315073966,4196.630147932,524.5787684915,957.157536983
11111,15524.51917145932,15888.5191714593,15524.5191714593,31049.0383429186,15524.5191714593,15888.5191714593,15524.51917145932,15587.5191714593,31049.0383429186,62098.0766858373,15524.5191714593,15587.5191714593
11112,1248.0982825314175,1017.0982825314,2496.1965650628,4992.3931301257,1248.0982825314,1017.0982825314,1248.0982825314175,1607.0982825314,1248.0982825314,2496.1965650628,1248.0982825314,1607.0982825314
11113,2907.1403572606455,2752.1403572607,2907.1403572607,2907.1403572607,2907.1403572607,5504.2807145213,2907.1403572606455,2481.1403572607,2907.1403572607,5814.2807145213,2907.1403572607,4962.2807145213
11114,1141.543670044,772.543670044,2283.087340088,2283.087340088,1141.543670044,1545.087340088,1141.543670044,858.543670044,1141.543670044,2283.087340088,570.771835022,1717.087340088
11115,7388.040984806005,7682.040984806,14776.081969612,14776.081969612,14776.081969612,15364.081969612,7388.040984806005,7513.040984806,7388.040984806,14776.081969612,7388.040984806,7513.040984806
11116,13898.62402627543,13461.6240262754,13898.6240262754,27797.2480525509,13898.6240262754,26923.2480525509,13898.62402627543,13820.6240262754,13898.6240262754,13898.6240262754,27797.2480525509,13820.6240262754
11117,720.1976068442173,852.1976068442,1440.3952136884,2880.7904273769,360.0988034221,852.1976068442,720.1976068442173,1145.1976068442,1440.3952136884,1440.3952136884,720.1976068442,1145.1976068442
11118,786.9314703587316,288.9314703587,786.9314703587,786.9314703587,1573.8629407175,288.9314703587,786.9314703587316,503.9314703587,1573.8629407175,3147.7258814349,786.9314703587,1007.8629407175
11119,1502.1359559846087,1119.1359559846,3004.2719119692,3004.2719119692,3004.2719119692,1119.1359559846,1502.1359559846087,1142.1359559846,3004.2719119692,6008.5438239384,751.0679779923,1142.1359559846
11120,3423.2596848142416,3063.2596848143,6846.5193696285,13693.038739257,1711.6298424071,6126.5193696285,3423.2596848142416,3829.2596848143,6846.5193696285,6846.5193696285,3423.2596848143,7658.5193696285
11121,951.96287863,1363.96287863,951.96287863,1903.92575726,475.981439315,1363.96287863,951.96287863,928.96287863,1903.92575726,3807.85151452,951.96287863,928.96287863
11122,75268.91934562048,75402.9193456205,75268.9193456205,150537.838691241,37634.4596728102,75402.9193456205,75268.91934562048,74837.9193456205,150537.838691241,301075.677382482,37634.4596728102,149675.838691241
11123,1760.7392798507417,1335.7392798508,1760.7392798508,3521.4785597015,880.3696399254,1335.7392798508,1760.7392798507417,1816.7392798508,3521.4785597015,7042.957119403,1760.7392798508,1816.7392798508
11124,7073.075006020149,7153.0750060202,7073.0750060202,7073.0750060202,7073.0750060202,14306.1500120403,7073.075006020149,6793.0750060202,14146.1500120403,14146.1500120403,14146.1500120403,13586.1500120403
11125,2850.330295024,2477.330295024,5700.660590048,5700.660590048,2850.330295024,2477.330295024,2850.330295024,3326.330295024,5700.660590048,11401.321180096,1425.165147512,3326.330295024
11126,5403.130295627,5443.130295627,5403.130295627,5403.130295627,10806.260591254,5443.130295627,5403.130295627,5588.130295627,10806.260591254,10806.260591254,10806.260591254,5588.130295627
11127,4652.273378421831,4752.2733784218,4652.2733784218,4652.2733784218,4652.2733784218,9504.5467568437,4652.273378421831,4999.2733784218,9304.5467568437,18609.0935136873,2326.1366892109,4999.2733784218
11128,1883.8648338639998,1649.864833864,1883.864833864,3767.729667728,1883.864833864,3299.729667728,1883.8648338639998,2162.864833864,1883.864833864,1883.864833864,1883.864833864,2162.864833864
11129,8298.891937235618,7998.8919372356,16597.7838744712,16597.7838744712,8298.8919372356,15997.7838744712,8298.891937235618,8444.8919372356,16597.7838744712,16597.7838744712,16597.7838744712,16889.7838744712
11130,2491.6501915234076,2888.6501915234,2491.6501915234,2491.6501915234,4983.3003830468,5777.3003830468,2491.6501915234076,2359.6501915234,2491.6501915234,2491.6501915234,2491.6501915234,4719.3003830468
11131,1398.8588633250001,1374.858863325,1398.858863325,1398.858863325,2797.71772665,2749.71772665,1398.8588633250001,1781.858863325,2797.71772665,2797.71772665,2797.71772665,3563.71772665
11132,22736.687334143542,22774.6873341435,22736.6873341435,45473.3746682871,11368.3436670718,45549.3746682871,22736.687334143542,22695.6873341435,45473.3746682871,45473.3746682871,45473.3746682871,22695.6873341435
11133,2955.6439302209997,2728.643930221,2955.643930221,5911.287860442,2955.643930221,5457.287860442,2955.6439302209997,3302.643930221,5911.287860442,11822.575720884,1477.8219651105,6605.287860442
11134,1222.659117283,1105.659117283,2445.318234566,2445.318234566,1222.659117283,2211.318234566,1222.659117283,1552.659117283,1222.659117283,2445.318234566,611.3295586415,3105.318234566
11135,50.6398949481,-376.3601050519,101.2797898962,101.2797898962,50.6398949481,-376.3601050519,50.6398949481,-405.3601050519,101.2797898962,202.5595797924,25.3199474741,-810.7202101038
11136,28312.77419730204,28426.774197302,28312.774197302,56625.5483946041,28312.774197302,56853.5483946041,28312.77419730204,27974.774197302,28312.774197302,56625.5483946041,14156.387098651,55949.5483946041
11137,2512.8486265282854,2251.8486265283,2512.8486265283,5025.6972530566,2512.8486265283,2251.8486265283,2512.8486265282854,2996.8486265283,2512.8486265283,5025.6972530566,1256.4243132642,5993.6972530566
11138,5412.694670548808,4951.6946705488,5412.6946705488,10825.3893410976,2706.3473352744,9903.3893410976,5412.694670548808,5452.6946705488,5412.6946705488,10825.3893410976,5412.6946705488,10905.3893410976
11139,3889.123243615,4150.123243615,3889.123243615,7778.24648723,3889.123243615,4150.123243615,3889.123243615,4055.123243615,3889.123243615,3889.123243615,7778.24648723,4055.123243615
11140,11336.225222521722,11356.2252225217,22672.4504450434,45344.9008900869,5668.1126112609,22712.4504450434,11336.225222521722,11323.2252225217,11336.2252225217,22672.4504450434,5668.1126112609,11323.2252225217
11141,1665.111421126438,1761.1114211264,1665.1114211264,3330.2228422529,832.5557105632,3522.2228422529,1665.111421126438,2114.1114211264,3330.2228422529,6660.4456845058,1665.1114211264,2114.1114211264
11142,2998.2974065119997,3122.297406512,2998.297406512,2998.297406512,5996.594813024,6244.594813024,2998.2974065119997,2727.297406512,2998.297406512,5996.594813024,2998.297406512,2727.297406512
11143,2345.6134141889997,2634.613414189,2345.613414189,4691.226828378,2345.613414189,2634.613414189,2345.6134141889997,2191.613414189,2345.613414189,4691.226828378,1172.8067070945,2191.613414189
11144,217986.25997515282,218428.259975153,435972.519950306,435972.519950306,217986.259975153,436856.519950306,217986.25997515282,217508.259975153,217986.259975153,435972.519950306,217986.259975153,435016.519950306
11145,108157.23272120845,108412.232721208,108157.232721208,216314.465442417,108157.232721208,108412.232721208,108157.23272120845,108103.232721208,216314.465442417,432628.930884834,108157.232721208,216206.465442417
